person_id;vehicle_id;Person Type;Person Injury Severity
747175;747164;DRIVER;NOT INJURED
747176;747165;DRIVER;NOT INJURED
747177;747165;PASSENGER/OCCUPANT;POSSIBLE INJURY
747178;747167;DRIVER;NOT INJURED
747179;747167;PASSENGER/OCCUPANT;NOT INJURED
747180;747167;PASSENGER/OCCUPANT;NOT INJURED
747181;747170;DRIVER;NOT INJURED
747182;747170;PASSENGER/OCCUPANT;NOT INJURED
747183;747170;PASSENGER/OCCUPANT;NOT INJURED
747184;747173;DRIVER;POSSIBLE INJURY
747185;747174;DRIVER;NOT INJURED
747186;747175;DRIVER;NOT INJURED
747187;747175;PASSENGER/OCCUPANT;NOT INJURED
747188;747177;PASSENGER/OCCUPANT;NOT INJURED
747189;747178;DRIVER;NOT INJURED
747190;747179;DRIVER;NOT INJURED
747191;747180;DRIVER;NOT INJURED
747192;747181;DRIVER;NOT INJURED
747193;747182;DRIVER;NOT INJURED
747194;747183;DRIVER;POSSIBLE INJURY
747195;747183;PASSENGER/OCCUPANT;NOT INJURED
747196;747185;DRIVER OF MOTORCYCLE TYPE VEHICLE;NON-INCAPACITATING INJURY
747197;747186;DRIVER OF MOTORCYCLE TYPE VEHICLE;POSSIBLE INJURY
747198;747187;DRIVER;NOT INJURED
747199;747188;DRIVER;POSSIBLE INJURY
747200;747188;PASSENGER/OCCUPANT;POSSIBLE INJURY
747201;747190;DRIVER;NOT INJURED
747202;747191;DRIVER;NOT INJURED
747203;747191;PASSENGER/OCCUPANT;NOT INJURED
747204;747191;PASSENGER/OCCUPANT;NOT INJURED
747205;747191;PASSENGER/OCCUPANT;NOT INJURED
747206;747195;DRIVER;NOT INJURED
747207;747196;DRIVER;NOT INJURED
747208;747196;PASSENGER/OCCUPANT;NOT INJURED
747209;747198;DRIVER;NOT INJURED
747210;747198;PASSENGER/OCCUPANT;NOT INJURED
747211;747198;PASSENGER/OCCUPANT;NOT INJURED
747212;747201;DRIVER;NON-INCAPACITATING INJURY
747213;747202;DRIVER;NOT INJURED
747214;747203;DRIVER;POSSIBLE INJURY
747215;747203;PASSENGER/OCCUPANT;NOT INJURED
747216;747203;PASSENGER/OCCUPANT;NOT INJURED
747217;747203;PASSENGER/OCCUPANT;NOT INJURED
747218;747207;DRIVER;NOT INJURED
747219;747208;DRIVER;POSSIBLE INJURY
747220;747208;PASSENGER/OCCUPANT;POSSIBLE INJURY
747221;747210;DRIVER;NOT INJURED
747222;747210;PASSENGER/OCCUPANT;NOT INJURED
747223;747212;DRIVER;NOT INJURED
747224;747212;PASSENGER/OCCUPANT;NOT INJURED
747225;747212;PASSENGER/OCCUPANT;POSSIBLE INJURY
747226;747212;PASSENGER/OCCUPANT;POSSIBLE INJURY
747227;747216;DRIVER;NOT INJURED
747228;747216;PASSENGER/OCCUPANT;NOT INJURED
747229;747216;PASSENGER/OCCUPANT;NOT INJURED
747230;747216;PASSENGER/OCCUPANT;NOT INJURED
747231;747216;PASSENGER/OCCUPANT;NOT INJURED
747232;747221;DRIVER;NOT INJURED
747233;747222;DRIVER;NOT INJURED
747234;747223;DRIVER;NOT INJURED
747235;747224;DRIVER;NOT INJURED
747236;747224;PASSENGER/OCCUPANT;NOT INJURED
747237;747226;DRIVER;NOT INJURED
747238;747227;DRIVER;INCAPACITATING INJURY
747239;747228;DRIVER;NOT INJURED
747240;747228;PASSENGER/OCCUPANT;NOT INJURED
747241;747230;DRIVER;UNKNOWN
747242;747230;PASSENGER/OCCUPANT;UNKNOWN
