vehicle_id;incident_id;Unit Description
747164;605411;MOTOR VEHICLE
747165;605411;MOTOR VEHICLE
747167;605414;MOTOR VEHICLE
747170;605414;MOTOR VEHICLE
747173;605420;MOTOR VEHICLE
747174;605420;MOTOR VEHICLE
747175;605422;MOTOR VEHICLE
747177;605424;MOTOR VEHICLE
747178;605424;MOTOR VEHICLE
747179;605426;MOTOR VEHICLE
747180;605426;MOTOR VEHICLE
747181;605428;MOTOR VEHICLE
747182;605429;MOTOR VEHICLE
747183;605429;MOTOR VEHICLE
747185;605432;MOTOR VEHICLE
747186;605433;MOTOR VEHICLE
747187;605433;MOTOR VEHICLE
747188;605435;MOTOR VEHICLE
747190;605437;MOTOR VEHICLE
747191;605438;MOTOR VEHICLE
747195;605438;MOTOR VEHICLE
747196;605443;MOTOR VEHICLE
747198;605443;MOTOR VEHICLE
747201;605448;MOTOR VEHICLE
747202;605449;MOTOR VEHICLE
747203;605450;MOTOR VEHICLE
747207;605454;MOTOR VEHICLE
747208;605454;MOTOR VEHICLE
747210;605457;MOTOR VEHICLE
747212;605457;MOTOR VEHICLE
747216;605457;MOTOR VEHICLE
747221;605468;MOTOR VEHICLE
747222;605468;MOTOR VEHICLE
747223;605470;MOTOR VEHICLE
747224;605470;MOTOR VEHICLE
747226;605473;MOTOR VEHICLE
747227;605473;MOTOR VEHICLE
747228;605475;MOTOR VEHICLE
747230;605477;MOTOR VEHICLE
747232;605477;MOTOR VEHICLE
747234;605481;MOTOR VEHICLE
747235;605481;MOTOR VEHICLE
747236;605483;MOTOR VEHICLE
747238;605483;MOTOR VEHICLE
747240;605487;MOTOR VEHICLE
747244;605487;MOTOR VEHICLE
747245;605492;MOTOR VEHICLE
747246;605492;MOTOR VEHICLE
747247;605494;MOTOR VEHICLE
747248;605494;MOTOR VEHICLE
747249;605496;MOTOR VEHICLE
747250;605496;MOTOR VEHICLE
747255;605502;MOTOR VEHICLE
747256;605502;MOTOR VEHICLE
747257;605504;MOTOR VEHICLE
747258;605504;MOTOR VEHICLE
747259;605506;MOTOR VEHICLE
747260;605506;MOTOR VEHICLE
747262;605509;MOTOR VEHICLE
747263;605510;MOTOR VEHICLE
747265;605510;MOTOR VEHICLE
747267;605514;MOTOR VEHICLE
747268;605514;MOTOR VEHICLE
747269;605516;MOTOR VEHICLE
747270;605517;MOTOR VEHICLE
747272;605517;MOTOR VEHICLE
747273;605520;MOTOR VEHICLE
747274;605520;MOTOR VEHICLE
