Case Id;Collision Year;Process Date;Jurisdiction;Collision Date;Collision Time;Officer Id;Reporting District;Day of Week;CHP Shift;Population;County City Location;Special Condition;Beat Type;CHP Beat Type;City Division LAPD;CHP Beat Class;Beat Number;Primary Rd;Secondary Rd;Distance;Direction;Intersection;Weather 1;Weather 2;State Highway Indicator;Caltrans County;Caltrans District;State Route;Route Suffix;Postmile Prefix;Postmile;Location Type;Ramp Intersection;Side Of Highway;Tow Away;Collision Severity;Killed victims;Injured victims;Party Count;Primary Collision Factor;PCF Violation Code;PCF Violation Category;PCF Violation;PCF Violation Subsection;Hit And Run;Type of Collision;Motor Vehicle Involved With;Ped Action;Road Surface;Road Condition 1;Road Condition 2;Lighting;Control Device;CHP Road Type;Pedestrian Collision;Bicycle Collision;Motorcycle Collision;Truck Collision;Not Private Property;Alcohol Involved;Statewide Vehicle Type At Fault;CHP Vehicle Type At Fault;Severe Injury count;Other Visible Injury count;Complaint of Pain Injury count;Pedestrian Killed count;Pedestrian Injured count;Bicyclist Killed count;Bicyclist Injured count;Motorcyclist Killed count;Motorcyclist Injured count;Primary Ramp;Secondary Ramp;Latitude;Longitude
4750401;2012;20120612;103;20120410;134700;23;21;2;5;6;103;0;0;0;;0;16;UNIVERSITY AV;6TH ST;0;;Y;C;-;N;;;;;;;;;;Y;4;0;2;2;A;-;12;21453;A;N;D;C;A;B;H;-;A;A;0;;;;;Y;;J;48;0;0;2;0;0;0;0;0;0;-;-;;
5064690;2012;20120716;9390;20120104;101500;18528;;3;1;5;111;0;1;1;;2;51;RT 580;RT 680;150;N;N;A;-;Y;ALA;4;580;-;-;20.591;R;2;W;N;0;0;0;1;A;-;8;22107;;N;E;I;A;A;H;-;A;D;1;;;;;Y;;A;1;0;0;0;0;0;0;0;0;0;TO;-;3.770.036;12.192.281
5087612;2012;20120427;9840;20120115;202300;17828;;7;2;9;3300;0;1;1;;2;11;RT 15;LIMONITE AV;450;N;N;A;-;Y;RIV;8;15;-;-;48.434;R;1;S;N;4;0;1;2;A;-;1;23152;A;F;C;C;A;A;H;-;E;D;1;;;;;Y;Y;A;7;0;0;1;0;0;0;0;0;0;TO;-;3.397.667;11.754.955
5173738;2012;20120906;3404;20120402;125400;690;4;1;5;7;3404;0;0;0;;0;00B;FRUITRIDGE RD;DANA WY;0;;Y;A;-;N;;;;;;;;;;Y;0;0;0;2;A;-;3;22350;;N;C;C;A;A;H;-;A;D;0;;;;;Y;;A;1;0;0;0;0;0;0;0;0;0;-;-;;
5319820;2012;20121019;3607;20120905;193200;80205;78;3;5;6;3607;0;0;0;;0;MILL;ONTARIO MILLS PKWY;MILLIKEN AV;5;E;N;A;-;N;;;;;;;;;;N;0;0;0;2;A;-;8;22100;A;N;B;C;A;A;H;-;C;A;0;;;;;Y;;A;7;0;0;0;0;0;0;0;0;0;-;-;;
5329109;2012;20121220;9250;20121103;131500;17900;;6;1;9;3400;0;2;4;;1;15;ROSEVILLE RD;LONGVIEW DR;0;;Y;A;-;N;;;;;;;;;;Y;3;0;3;2;A;-;17;21451;A;N;D;C;A;A;H;-;A;A;0;;;;;Y;;A;1;0;3;0;0;0;0;0;0;0;-;-;;
5403028;2012;20120131;3009;20120113;191300;3218;143;5;5;6;3009;0;0;0;;0;;HASTER ST;ALLARD AV;237;N;N;A;-;N;;;;;;;;;;Y;1;1;0;2;A;-;11;21954;A;N;G;B;D;A;H;-;C;A;0;Y;;;;Y;;N;60;0;0;0;1;0;0;0;0;0;-;-;;
5403029;2012;20120131;4313;20120103;72900;2942;SOUTH;2;5;7;4313;0;0;0;;0;0T2;CURTNER AV;DUMBARTON AV;0;;Y;E;-;N;;;;;;;;;;Y;1;1;0;3;-;-;- ;;;N;B;C;A;B;H;-;A;-;0;;;;;Y;;-;- ;0;0;0;0;0;0;0;0;0;-;-;;
5403030;2012;20120131;1942;20120119;54500;38185;2142;4;5;7;1942;0;0;0;;0;21TL69;VANOWEN ST;BERQUIST AV;72;W;N;A;-;N;;;;;;;;;;Y;1;1;0;3;B;-;22;;;N;C;-;A;A;H;-;B;A;0;;;;;Y;;A;1;0;0;0;0;0;0;0;0;0;-;-;;
5403031;2012;20120203;9420;20120113;60500;18615;;5;1;9;1500;0;1;3;;2;177;RT 178;BAKERSFIELD CITY LIMIT;550;E;N;A;-;Y;KER;6;178;-;-;13.84;H;-;E;Y;1;1;1;1;A;-;8;22107;;N;E;I;A;A;H;-;B;D;0;;;;;Y;;A;1;0;1;0;0;0;0;0;0;0;-;-;3.544.669;11.878.834
5403032;2012;20120131;3711;20120101;161500;5051;;7;5;7;3711;0;0;0;;0;813;HOWARD AV;30TH ST;0;;Y;A;-;N;;;;;;;;;;N;1;1;0;2;A;-;10;21950;A;N;G;B;D;A;H;-;A;A;0;Y;;;;Y;;A;7;0;0;0;1;0;0;0;0;0;-;-;;
5403033;2012;20120131;3711;20120101;193200;3661;SANDI;7;5;7;3711;0;0;0;;0;621;GENESEE AV;OSLER ST;444;N;N;A;-;N;;;;;;;;;;Y;1;1;0;1;A;-;8;22107;;N;E;I;A;A;H;-;D;D;0;;;;;Y;;A;1;0;0;0;0;0;0;0;0;0;-;-;;
5403034;2012;20120203;9655;20120105;42000;16442;;4;3;9;3300;0;1;1;;2;206;RT 10;MAIN ST;8976;E;N;A;-;Y;RIV;8;10;-;R;21.22;H;-;E;Y;1;1;0;1;A;-;8;22107;;N;F;A;A;A;H;-;D;D;1;;;;;Y;;A;1;0;0;0;0;0;0;0;0;0;-;-;;
